Suburb,Average Price,Average Landsize,Average BuildingArea
Mont Albert,1519916.667,692.3235294,158.5294118
Montmorency,877324,657.3529412,162.875
Montrose,735000,846,160
Moonee Ponds,1109342.045,351.885906,142.54375
Moorabbin,975740.3846,532.546875,125.3023256
Mooroolbark,742323.5294,931.4166667,132.5071429
Mordialloc,999532.2581,435.5,197.3
Mount Evelyn,567500,1650,114
Mount Waverley,1365932.632,613.3859649,188.3896875
Mulgrave,1140444.444,633.7241379,151.7777778
Murrumbeena,1017576.523,523.9390244,125.744186
Narre Warren,641000,774.7142857,182.75
New Gisborne,870000,44500,22345
Newport,1029591.195,427.2481752,143.6707317
Niddrie,957200.9804,479.7439024,177.2036842
Noble Park,628815.7895,614.3333333,117.4666667
North Melbourne,870496.7263,305.304878,84.54716981
North Warrandyte,1226000,2839,234
Northcote,1209839.876,341.6808511,122.8636364
Notting Hill,991916.6667,549,136
Nunawading,990928.5714,553.95,141.6666667
Oak Park,809338.1705,484.6031746,142.6666667
Oakleigh,1079616.667,537.212766,152.6923077
Oakleigh East,1119000,588.6363636,119.5714286
Oakleigh South,1001265.717,549.4590164,153.6451613
Officer,559000,480,
Ormond,1115740.196,419,134.089
Pakenham,485166.6667,526,343.3333333
Parkdale,1105554.878,497.75,144.5
Parkville,1340094.737,857.7096774,138
Pascoe Vale,754394.0529,434.8947368,128.6717172
Patterson Lakes,670000,,104
Plenty,942000,,
Plumpton,625500,477,178
Point Cook,660551.8519,473.5384615,222.78125
Port Melbourne,1243275.51,678.8039216,120.4719101
Prahran,1129800,329.1788618,103.5634921
Preston,864422.2372,459.58159,129.8091379
Princes Hill,1753666.667,268.4,175
Reservoir,678812.1072,584.2785515,123.3401579
Richmond,1077620.871,564.3692308,99.89559748
Riddells Creek,892250,1459,272.4
Ringwood,944462.9259,700.05,144.6363636
Ringwood East,948555.5556,599,110.1818182
Ringwood North,930153.8462,659.5,170.3333333
Ripponlea,786208.3333,529.3333333,88.75
Rockbank,340000,609,
Rosanna,969643.617,579.9672131,144.25
Rowville,897237.5,626.7,215.3333333
Roxburgh Park,509188,429.8,147.9166667
Sandhurst,655000,448,185.5
Sandringham,1608075.758,447.36,192
Scoresby,958225,838.5,152.8
Seabrook,592500,531,98
Seaford,719604.1667,607.4285714,173.5833333
Seaholme,1047500,520.5,220.4
Seddon,973412.1622,227.9047619,127
Silvan,1077500,57245,
Skye,597849,582.5,152
South Kingsville,747855.7692,351.7272727,124.0909091
South Melbourne,1359280.374,164.5764706,117.9722
South Morang,609437.5,482.047619,191.9565217
South Yarra,1011147.276,743.8118812,89.2755102
Southbank,616132.6531,946.8780488,89.11111111
Spotswood,930538.4615,447,154.5333333
Springvale,808218.75,613.1111111,109.4166667
Springvale South,766666.6667,665.6666667,105
St Albans,589805.2632,565.12,125.4666667
St Helena,963400,987.3333333,260
St Kilda,843943.3884,531.4259259,93.74105263
Strathmore,1187485.714,555.828125,200.375
Strathmore Heights,843409,565.8333333,206
Sunbury,526153.8462,685.6842105,152.6666667
Sunshine,707952.5474,482.8018018,135.8878261
Sunshine North,631834.3434,552.4264706,153.3071429
Sunshine West,574444.6281,592.3139535,129.5696078
Surrey Hills,1535328.947,536.912,189.3110606
Sydenham,569166.6667,608.4,157.2
Tarneit,517250,417.6,145.25
Taylors Hill,652272.7273,526.7142857,229.4285714
Taylors Lakes,711400,650.3181818,214
Tecoma,855000,,
Templestowe,1522733.333,941.8421053,232.3846154
Templestowe Lower,1162547.794,675.4565217,188.2745098
The Basin,584550,900.25,102
Thomastown,635361.1111,546.2068966,125.3333333
Thornbury,943449.6667,354.4028777,110.1710526
Toorak,1642382.401,373.48,156.5
Travancore,1010450,1854.6,126.25
Truganina,495668.75,333.8,146.3333333
Tullamarine,579307.6923,402.6923077,127.36
Upwey,575000,1200,
Vermont,1022093.75,568.9285714,164
Vermont South,1186470.588,759,201.5714286
Viewbank,952828.7037,615.2439024,172.5909091
Wallan,366000,502,77
Wantirna,950823.5294,741.25,152.75
Wantirna South,1082500,618.0909091,209.3333333
Warrandyte,1118000,2142.8,135
Waterways,1248500,612,244
Watsonia,751850,502.0769231,126.3454545
Watsonia North,760818.1818,649,125.3333333
Wattle Glen,1140000,,
Werribee,509142.623,584.36,141.2058824
Werribee South,355000,,
West Footscray,763949.5798,376.2761905,135.8656897
West Melbourne,1027205.128,168.2580645,130.8095238
Westmeadows,603125,552.2857143,143.5
Wheelers Hill,1211564.706,734.0384615,215.125
Whittlesea,520500,972,135
Williams Landing,532500,354,234
Williamstown,1292918.033,305.8411215,167.0187302
Williamstown North,847145.8333,379.15,139.0291667
Windsor,968568.1818,224.2,92.44285714
Wollert,538018.75,320.3,224.826
Wonga Park,900000,0,177
Wyndham Vale,520328.5714,488.75,154.885
Yallambie,827587.8378,599.375,173.9
Yarra Glen,620000,863,180.56
Yarraville,967279.6973,322.0060976,128.3634951
Grand Total,1056697.461,558.1163714,151.2202195
